"session","created","modified","ended","expired","position","mc_empirical","mc_group","mc_data_type","mc_data_size","pre_process","rep_process","prob_rep","tool1","tool2","other_tools","storage","storag2","other_store","vercon1","vercon2","vercon3","other_verco","dvc","feedback"
"rBnDV9DZrkIHofDTw55ER5o7tKkt5QzTeRGVpUvz_h6u9H-EJhttdgXm_RK-FNzS","2021-02-10 16:10:12","2021-02-10 20:42:35","","","","","","","","","","","","","","","","","","","","","",""
"oPAgy1IRZ0fpABmVlE88r8e77cG2M9an4iiI4rxtTNI3wp--bJRfJT_PJ-vgeq_e","2021-02-10 16:13:09","2021-02-10 18:56:41","2021-02-10 18:56:41","","PhD student","1","2","1, 2","5","familiarizing myself with the data, transforming survey data, removing outliers or entry errors for standard databases","usually apply filters in a Stata do file, where the final file has all the necessary steps for reproducibility","with reproducing your own research it can always happen that you forget why you did what you did if you didn't comment out your own files properly; for other people, if you rely solely on the paper or appendix it's often not possible to properly reproduce their data","1, 3, 5","3","","11, 13","11, 13","","2, 3","4","2","","no",""
"","2021-02-10 20:23:44","2021-02-10 20:25:26","2021-02-10 20:25:26","","Postdoctoral researcher","1","3","3","4","","","","","","","","","","","","","","",""
"","2021-02-10 20:28:17","2021-02-10 20:28:20","2021-02-10 20:28:24","","","","","","","","","","","","","","","","","","","","",""
"","2021-02-10 20:28:37","2021-02-10 20:28:41","","","","1","","","","","","","","","","","","","","","","","",""
"","2021-02-10 20:30:04","2021-02-10 20:30:19","","","","1","","","","","","","","","","","","","","","","","",""
"_SSckJM63xWsBZO1W9dNBKhAcrCyFp7fQqNwv6mouD_qUBXx2T_A95nskrEb9vUD","2021-02-16 13:33:34","","","","","","","","","","","","","","","","","","","","","","",""
"06sAWkwCF1OX6UUID91VCqrnsZtAokEJUWJUmUL3IId7DLBPjeD-qXztH1L7f9RK","2021-02-20 08:10:15","","","","","","","","","","","","","","","","","","","","","","",""
"gXl_WCzi6kHPzgZsvxt8TbhSMzA9yoOEIobMXJV6wF9JHuHrr7XJMtKvh6xv6dmk","2021-02-21 22:30:37","","","","","","","","","","","","","","","","","","","","","","",""
"Vz_8Ad0NskEKz-RJ5C_Ap_ZS5yVK8YnBjhwiOyeFfH-eBonIVSN_MQ2gB9nmLcTN","2021-02-23 19:32:23","","","","","","","","","","","","","","","","","","","","","","",""
"HdgoRuR78B48DrhCg43QKCzVReoRzUknLWOjMcwNAoKSo4JeITY0uGfbWrYgDFtN","2021-02-26 18:55:02","","","","","","","","","","","","","","","","","","","","","","",""
"xda-5JVGYwiS4jPW4qa1Yz9QeotvKN9wnDuoYxnW_TzfRtqLU01mFYSFQ9xNSA4q","2021-02-27 00:56:45","","","","","","","","","","","","","","","","","","","","","","",""
"50KvdgsZSs9_-2iHsieuwXQxIkHBW0565YRThCGHP2EqxRFD49D2Pr-ONwg4JuWF","2021-03-03 07:20:32","","","","","","","","","","","","","","","","","","","","","","",""
"xGAexMtHVORllODPd7-iM-LiJWR7bRYR3Xzs7s0LPBPj5zPl3DBj35iQ-uMEJAEl","2021-03-05 11:52:45","2021-03-05 12:09:00","","","","1","","","","","","","","","","","","","","","","","",""
"VEptJSEyGsa03i64cP2BRT-W-QiPTjUbcoWhMVh7nhaq4Kov0gpPZfmhfwv0GeFb","2021-03-05 12:09:50","","","","","","","","","","","","","","","","","","","","","","",""
"kv5bzwr4D6JfAJm0Y-cejPbdD1jI78qNC34bpa7NtH2f8Ij32FM6vZjBBFgA4LcI","2021-03-05 16:34:53","","","","","","","","","","","","","","","","","","","","","","",""
"kGRe4RbpGcbta0TBOcsU2mrFeAB8MKsnUN4MRsm-L-GgDoS-hhruIbT7-7nrFYv-","2021-03-05 16:35:04","","","","","","","","","","","","","","","","","","","","","","",""
"YGGRW2T2HH3j4jIM-qiSIgzDBpD7V3ywYxmX6EkmjDRziVg2U0I2QMRGLA0UaCvD","2021-03-05 16:35:06","","","","","","","","","","","","","","","","","","","","","","",""
"O3bhshNk2bgRZp37U_cyutf97kpvyLMaGXo0tV-uhjWZKTCIT0ATcdVdEfClkKeJ","2021-03-05 16:36:44","","","","","","","","","","","","","","","","","","","","","","",""
"4B-hygZqxSW1yl9dyGGNaG0XQwT0BFXHrw2ZA4w9zVO-A22I6ZzMCN3DD6dCYZp9","2021-03-05 16:36:46","2021-03-05 16:44:27","2021-03-05 16:44:27","","Research Software Engineer","1","2","2, 3","2","data cleaning, filtering, keywording","writing scripts (Python, JAVA)","no","1, 6","1, 6","","14","10, 14","GitHub","1","1","1","","no",""
"t6FWGc-xv_nEAe2GyFdJX9CHooCvV5Zxzjf33M1ogvN-45BoS5Xxj0CoHZh24U9i","2021-03-05 16:40:15","2021-03-05 16:47:11","2021-03-05 16:47:11","","Postdoctoral researcher","1","2","2","5","Cleaning, data type checks, aggregating, filtering, ","I usually have all processing steps in a separate script and define clear inputs and outputs of each processing step, i.e. raw data -> cleaned data -> aggregated data -> filtered data. I keep copies of each intermediate step and never touch the raw data. ","Not really, since I always used well-defined scripts that are part of my (version controlled) analysis code base for data processing. I did not try to reproduce somebody else's data preprocessing so far.","1","1","","1, 5, 9, 11, 12, 13, 14","1, 5, 9, 10, 11, 12, 13, 14","If data sets are small, I store them as part of the analysis code repository on GitHub","1, 3","1","2","","","I would refrain from calling doctoral researchers ""PhD students"". They have a degree and their main role is working as researchers, especially in the European research context."
"2GO_s_XSHnA8pqjMvZDhQZqyN5A6-PXFt6NMXhRU3otTAJY0CSRVjgEsdDCFRBLI","2021-03-05 16:41:02","2021-03-07 18:38:22","2021-03-07 18:38:22","","Postdoctoral researcher","1","2","2","2","checking patterns of missing values, out of theoretical range data, survey time (unreasonably fast surveys), reshaping data to shape I need for analysis (e.g. one row for each participant at each measurement time for time series data)","I produce all analysis in an R Markdown that I'll compile into HTML. This allows me to embed the data itself in the HTML (for readers to open), display the R code, the according results and additional text or images all in one file.","Yes. I wanted to run a code that reshaped data. But the package was updated and no longer used this function, so I got an error.","2","2","","9, 11","9","gesis.org, psycharchives.org","2, 3","1","1","","","Just want to say howdy. Howdy!"
"GxDNaG4G1awcEZB23JTdRtB3not5eqegBdyYLGZmc2OHTNv6JSEHoiJ4cOc_dmTL","2021-03-05 16:44:51","2021-03-05 16:45:45","","","Postdoctoral researcher","1","2","2, 4, 5","4","","","","","","","","","","","","","","",""
"uFBi0rU7WfyyU-ERYaXbCJtKWhTruuK85ZbpZTHE8Wj2Jlgaw4994mun3nF5Xq0v","2021-03-05 17:00:46","2021-03-05 17:04:32","2021-03-05 17:04:32","","","1","4","1","3","","","","","2, 4, 6, 7, 9","","2, 4, 11, 13","13","","2","","2","","",""
"RFWvppbJdbUodVfoCcMmk6ceotDo2oRvQfn8NymxekbLUuQV1lUx6dAuW2M5V_4w","2021-03-05 17:02:52","2021-03-05 17:21:20","2021-03-05 17:21:20","","Postdoctoral researcher","1","1","1, 2","2","There is no typical procedure because every research project is different.","I script every step of pre-processing (usually in a pipeline of script files including Python, Stata or PHP) and never alter raw data manually. In some softwares that cannot be scripted, I note my steps in a text file kept with the raw data.","No, I rarely replicate others' pre-processing, and my own pipeline works even when I've been away from a dataset for a few months.","1, 3","1, 3, 6","There was no ""other"" option to select. But had there been, I would have added PHP for pre-processing and analysis, and Windows Shell (Command Line), Tesseract and Adobe Pro for pre-processing (image-to-OCR).","11","11, 14","discipline-specific data-repositories, e.g. intR2dok","2","2","2","","","These practices vary A LOT across disciplines and I am concerned that I haven't even been asked for my discipline. (You'll be able to figure it out from my responses ;)"
